,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,136133.95997660173
1,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,1432.246311714569
2,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,24.990557858932608
3,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
4,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,0.0,133725.54789583382
5,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,0.0,2548.0560519349665
6,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,2.3354215448737694
7,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
8,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,0.0,131759.65187302048
9,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,0.0,2514.993297283937
10,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,6.493223171968941
11,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
12,notUsed,tree,Use trees - notUsed,Use trees,0,3,total,0.0,132495.40946381475
13,notUsed,tree,Use trees - notUsed,Use trees,0,3,dead,0.0,3669.8487559018226
14,notUsed,tree,Use trees - notUsed,Use trees,0,3,high,0.0,0.5305360430733316
15,notUsed,tree,Use trees - notUsed,Use trees,0,3,carrySuit,0.0,0.0
16,notUsed,tree,Use trees - notUsed,Use trees,0,4,total,0.0,129671.25239586878
17,notUsed,tree,Use trees - notUsed,Use trees,0,4,dead,0.0,3561.100370547292
18,notUsed,tree,Use trees - notUsed,Use trees,0,4,high,0.0,3.7651093720913904
19,notUsed,tree,Use trees - notUsed,Use trees,0,4,carrySuit,0.0,0.0
20,notUsed,tree,Use trees - notUsed,Use trees,0,5,total,0.0,130717.2478197813
21,notUsed,tree,Use trees - notUsed,Use trees,0,5,dead,0.0,4427.880076169182
22,notUsed,tree,Use trees - notUsed,Use trees,0,5,high,0.0,1.0329636458019995
23,notUsed,tree,Use trees - notUsed,Use trees,0,5,carrySuit,0.0,0.0
24,notUsed,tree,Use trees - notUsed,Use trees,0,6,total,0.0,129667.04999724231
