,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,135557.01910318265
1,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,954.9656197299639
2,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
3,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
4,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,136723.7683552771
5,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,932.7676996239626
6,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
7,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
8,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,0.0,136580.27510408376
9,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,0.0,973.431043921469
10,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
11,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
12,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,136442.5671877536
13,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,990.5349468731833
14,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
15,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
16,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,0.0,136659.34205275332
17,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,0.0,986.544609886379
18,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
19,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
20,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,total,0.0,272835.2850782437
21,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,dead,0.0,1986.770459937637
22,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,high,0.0,0.0
23,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,carrySuit,0.0,0.0
24,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,136357.94130498212
25,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,959.902328881662
26,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
27,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
28,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,0.0,136750.58466752747
29,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,0.0,950.3832509710609
30,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
31,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
32,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,total,0.0,273220.4929525558
33,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,dead,0.0,1920.9741019218561
34,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,high,0.0,0.0
35,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,carrySuit,0.0,0.0
36,notUsed,pole,Use poles - notUsed,Use poles,0,0,total,169.1848664961934,492.711164188692
37,notUsed,pole,Use poles - notUsed,Use poles,0,0,dead,0.0,4.107715753693382
38,notUsed,pole,Use poles - notUsed,Use poles,0,0,high,34.777653202293024,0.0
39,notUsed,pole,Use poles - notUsed,Use poles,0,0,carrySuit,0.0,0.0
40,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,137614.40833628736
41,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,1018.0672032243968
42,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
43,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
44,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,0.0,137621.15442156416
45,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,0.0,1014.7583460927585
46,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
47,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
48,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,total,0.0,275286.18405220954
49,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,dead,0.0,1951.4772866522144
50,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,high,0.0,0.0
51,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,carrySuit,0.0,0.0
52,notUsed,pole,Use poles - notUsed,Use poles,0,0,total,129.45511132097045,495.6980275666907
53,notUsed,pole,Use poles - notUsed,Use poles,0,0,dead,0.0,3.544476084577277
54,notUsed,pole,Use poles - notUsed,Use poles,0,0,high,26.68772256535202,0.0
55,notUsed,pole,Use poles - notUsed,Use poles,0,0,carrySuit,0.0,0.0
56,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,total,761.3293997129887,494.54262489327544
57,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,dead,0.0,5.527522678185878
58,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,high,158.14618213809737,0.0
59,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,carrySuit,0.0,0.0
60,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,137621.74109380247
61,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,995.6215970367284
62,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
63,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
64,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,0.0,137641.90134619063
65,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,0.0,994.0731206522629
66,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
67,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
68,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,total,0.0,275250.2552832625
69,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,dead,0.0,1990.446015765008
70,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,high,0.0,0.0
71,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,carrySuit,0.0,0.0
72,notUsed,pole,Use poles - notUsed,Use poles,0,0,total,156.23062690954708,494.4361415678513
73,notUsed,pole,Use poles - notUsed,Use poles,0,0,dead,0.0,3.8303030126696136
74,notUsed,pole,Use poles - notUsed,Use poles,0,0,high,33.057098557707555,0.0
75,notUsed,pole,Use poles - notUsed,Use poles,0,0,carrySuit,0.0,0.0
76,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,total,766.8175586954405,492.91278597734913
77,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,dead,0.0,4.156123991644673
78,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,high,157.85988933563405,0.0
79,notUsed,pole,"Use poles, source as cheaply as possible - notUsed","Use poles, source as cheaply as possible",0,0,carrySuit,0.0,0.0
80,notUsed,snag,Use snags - notUsed,Use snags,0,0,total,551.564422035436,494.79621338987835
81,notUsed,snag,Use snags - notUsed,Use snags,0,0,dead,0.0,2.4444750489992746
82,notUsed,snag,Use snags - notUsed,Use snags,0,0,high,159.3450988987274,0.0
83,notUsed,snag,Use snags - notUsed,Use snags,0,0,carrySuit,0.0,0.0
84,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,0.0,137665.17968359284
85,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,0.0,982.9326229942177
86,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
87,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
88,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,0.0,137628.05575851913
89,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,0.0,964.221693887542
90,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
91,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
92,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,total,0.0,275264.15264707105
93,notUsed,tree,"Use trees, maintain trees, renew trees, and source cheaply - notUsed","Use trees, maintain trees, renew trees, and source cheaply",0,0,dead,0.0,2005.2728146388558
