,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,135659.43872177653,135659.43872177653
1,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,940.0423273193825,940.0423273193825
2,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
3,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
4,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,134912.21139924764,134912.21139924764
5,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,2568.9758105950086,2568.9758105950086
6,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,0.0
7,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
8,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,132622.49214474004,132622.49214474004
9,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,2544.2065163104176,2544.2065163104176
10,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,0.0
11,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
12,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,135749.87807865712,135749.87807865712
13,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,943.9734880442813,943.9734880442813
14,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
15,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
16,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,135125.7043557322,135125.7043557322
17,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,2584.9002346388415,2584.9002346388415
18,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,0.0
19,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
20,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,134285.52847220827,134285.52847220827
21,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,2585.511228188592,2585.511228188592
22,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,0.0
23,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
24,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,136246.7480456563,136246.7480456563
25,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,951.9010943959061,951.9010943959061
26,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
27,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
28,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,total,136524.71574869027,136524.71574869027
29,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,dead,2604.0565662264953,2604.0565662264953
30,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,high,0.0,0.0
31,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,carrySuit,0.0,0.0
32,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,total,135452.97263241044,135452.97263241044
33,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,dead,2595.7878556711735,2595.7878556711735
34,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,high,0.0,0.0
