,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,135244.2825878033,135244.2825878033
1,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,970.4011268244436,970.4011268244436
2,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
3,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
4,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,133588.52128994954,133588.52128994954
5,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,2558.6484775929603,2558.6484775929603
6,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,0.0
7,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
8,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,132251.08993449833,132251.08993449833
9,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,2536.7249223600165,2536.7249223600165
10,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,0.0
11,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
12,notUsed,tree,Use trees - notUsed,Use trees,0,3,total,131287.0542927558,131287.0542927558
13,notUsed,tree,Use trees - notUsed,Use trees,0,3,dead,3611.599497581243,3611.599497581243
14,notUsed,tree,Use trees - notUsed,Use trees,0,3,high,0.0,0.0
15,notUsed,tree,Use trees - notUsed,Use trees,0,3,carrySuit,0.0,0.0
16,notUsed,tree,Use trees - notUsed,Use trees,0,4,total,128452.4784045027,128452.4784045027
17,notUsed,tree,Use trees - notUsed,Use trees,0,4,dead,3548.2885416410163,3548.2885416410163
18,notUsed,tree,Use trees - notUsed,Use trees,0,4,high,0.0,0.0
19,notUsed,tree,Use trees - notUsed,Use trees,0,4,carrySuit,0.0,0.0
20,notUsed,tree,Use trees - notUsed,Use trees,0,5,total,128590.25853331802,128590.25853331802
21,notUsed,tree,Use trees - notUsed,Use trees,0,5,dead,4349.529843167651,4349.529843167651
22,notUsed,tree,Use trees - notUsed,Use trees,0,5,high,0.0,0.0
23,notUsed,tree,Use trees - notUsed,Use trees,0,5,carrySuit,0.0,0.0
24,notUsed,tree,Use trees - notUsed,Use trees,0,6,total,126384.46411626496,126384.46411626496
25,notUsed,tree,Use trees - notUsed,Use trees,0,6,dead,4460.809207848236,4460.809207848236
26,notUsed,tree,Use trees - notUsed,Use trees,0,6,high,0.0,0.0
27,notUsed,tree,Use trees - notUsed,Use trees,0,6,carrySuit,0.0,0.0
28,notUsed,tree,Use trees - notUsed,Use trees,0,7,total,125637.10669015137,125637.10669015137
29,notUsed,tree,Use trees - notUsed,Use trees,0,7,dead,4737.617505248642,4737.617505248642
30,notUsed,tree,Use trees - notUsed,Use trees,0,7,high,0.0,0.0
31,notUsed,tree,Use trees - notUsed,Use trees,0,7,carrySuit,0.0,0.0
32,notUsed,tree,Use trees - notUsed,Use trees,0,8,total,127409.94395472368,127409.94395472368
33,notUsed,tree,Use trees - notUsed,Use trees,0,8,dead,5399.30697758683,5399.30697758683
34,notUsed,tree,Use trees - notUsed,Use trees,0,8,high,0.0,0.0
35,notUsed,tree,Use trees - notUsed,Use trees,0,8,carrySuit,0.0,0.0
36,notUsed,tree,Use trees - notUsed,Use trees,0,9,total,124847.17347508216,124847.17347508216
37,notUsed,tree,Use trees - notUsed,Use trees,0,9,dead,5331.863668363201,5331.863668363201
38,notUsed,tree,Use trees - notUsed,Use trees,0,9,high,0.0,0.0
39,notUsed,tree,Use trees - notUsed,Use trees,0,9,carrySuit,0.0,0.0
