,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,135577.99092250702,135577.99092250702
1,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,917.4678302665127,917.4678302665127
2,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
3,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
4,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,135414.5727733518,135414.5727733518
5,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,2591.7173389267205,2591.7173389267205
6,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,0.0
7,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
8,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,133921.07625070954,133921.07625070954
9,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,2558.2354691529536,2558.2354691529536
10,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,0.0
11,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
12,notUsed,tree,Use trees - notUsed,Use trees,0,3,total,134016.03280539234,134016.03280539234
13,notUsed,tree,Use trees - notUsed,Use trees,0,3,dead,3690.987664411612,3690.987664411612
14,notUsed,tree,Use trees - notUsed,Use trees,0,3,high,0.0,0.0
15,notUsed,tree,Use trees - notUsed,Use trees,0,3,carrySuit,0.0,0.0
16,notUsed,tree,Use trees - notUsed,Use trees,0,4,total,133123.74050396337,133123.74050396337
17,notUsed,tree,Use trees - notUsed,Use trees,0,4,dead,3672.867609263307,3672.867609263307
18,notUsed,tree,Use trees - notUsed,Use trees,0,4,high,0.0,0.0
19,notUsed,tree,Use trees - notUsed,Use trees,0,4,carrySuit,0.0,0.0
20,notUsed,tree,Use trees - notUsed,Use trees,0,5,total,133626.4543289836,133626.4543289836
21,notUsed,tree,Use trees - notUsed,Use trees,0,5,dead,4521.587348443848,4521.587348443848
22,notUsed,tree,Use trees - notUsed,Use trees,0,5,high,0.0,0.0
23,notUsed,tree,Use trees - notUsed,Use trees,0,5,carrySuit,0.0,0.0
24,notUsed,tree,Use trees - notUsed,Use trees,0,6,total,131734.74058854583,131734.74058854583
25,notUsed,tree,Use trees - notUsed,Use trees,0,6,dead,4664.720537573834,4664.720537573834
26,notUsed,tree,Use trees - notUsed,Use trees,0,6,high,0.0,0.0
27,notUsed,tree,Use trees - notUsed,Use trees,0,6,carrySuit,0.0,0.0
28,notUsed,tree,Use trees - notUsed,Use trees,0,7,total,131420.73648766824,131420.73648766824
29,notUsed,tree,Use trees - notUsed,Use trees,0,7,dead,4994.546570215051,4994.546570215051
30,notUsed,tree,Use trees - notUsed,Use trees,0,7,high,0.0,0.0
31,notUsed,tree,Use trees - notUsed,Use trees,0,7,carrySuit,0.0,0.0
32,notUsed,tree,Use trees - notUsed,Use trees,0,8,total,132459.22204906866,132459.22204906866
33,notUsed,tree,Use trees - notUsed,Use trees,0,8,dead,5610.5614506847805,5610.5614506847805
34,notUsed,tree,Use trees - notUsed,Use trees,0,8,high,0.0,0.0
35,notUsed,tree,Use trees - notUsed,Use trees,0,8,carrySuit,0.0,0.0
36,notUsed,tree,Use trees - notUsed,Use trees,0,9,total,130217.34756271569,130217.34756271569
37,notUsed,tree,Use trees - notUsed,Use trees,0,9,dead,5568.879213747032,5568.879213747032
38,notUsed,tree,Use trees - notUsed,Use trees,0,9,high,0.0,0.0
39,notUsed,tree,Use trees - notUsed,Use trees,0,9,carrySuit,0.0,0.0
40,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,136430.10831858538,136430.10831858538
41,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,924.4455853874562,924.4455853874562
42,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
43,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
44,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,133871.96529340112,133871.96529340112
45,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,2569.9980946970727,2569.9980946970727
46,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,0.0
47,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
48,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,133095.42326435787,133095.42326435787
49,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,2533.3144507936713,2533.3144507936713
50,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,0.0
51,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
52,notUsed,tree,Use trees - notUsed,Use trees,0,3,total,134148.12785774574,134148.12785774574
53,notUsed,tree,Use trees - notUsed,Use trees,0,3,dead,3709.1021887423276,3709.1021887423276
54,notUsed,tree,Use trees - notUsed,Use trees,0,3,high,0.0,0.0
55,notUsed,tree,Use trees - notUsed,Use trees,0,3,carrySuit,0.0,0.0
56,notUsed,tree,Use trees - notUsed,Use trees,0,4,total,133125.28623788044,133125.28623788044
57,notUsed,tree,Use trees - notUsed,Use trees,0,4,dead,3654.710321308648,3654.710321308648
58,notUsed,tree,Use trees - notUsed,Use trees,0,4,high,0.0,0.0
59,notUsed,tree,Use trees - notUsed,Use trees,0,4,carrySuit,0.0,0.0
60,notUsed,tree,Use trees - notUsed,Use trees,0,5,total,132591.47433747308,132591.47433747308
61,notUsed,tree,Use trees - notUsed,Use trees,0,5,dead,4464.510445939035,4464.510445939035
62,notUsed,tree,Use trees - notUsed,Use trees,0,5,high,0.0,0.0
63,notUsed,tree,Use trees - notUsed,Use trees,0,5,carrySuit,0.0,0.0
64,notUsed,tree,Use trees - notUsed,Use trees,0,6,total,132130.66039547767,132130.66039547767
65,notUsed,tree,Use trees - notUsed,Use trees,0,6,dead,4657.601349261742,4657.601349261742
66,notUsed,tree,Use trees - notUsed,Use trees,0,6,high,0.0,0.0
67,notUsed,tree,Use trees - notUsed,Use trees,0,6,carrySuit,0.0,0.0
68,notUsed,tree,Use trees - notUsed,Use trees,0,7,total,132138.35510773503,132138.35510773503
69,notUsed,tree,Use trees - notUsed,Use trees,0,7,dead,4970.308065390832,4970.308065390832
70,notUsed,tree,Use trees - notUsed,Use trees,0,7,high,0.0,0.0
71,notUsed,tree,Use trees - notUsed,Use trees,0,7,carrySuit,0.0,0.0
72,notUsed,tree,Use trees - notUsed,Use trees,0,8,total,132989.20028291777,132989.20028291777
73,notUsed,tree,Use trees - notUsed,Use trees,0,8,dead,5623.114216361676,5623.114216361676
74,notUsed,tree,Use trees - notUsed,Use trees,0,8,high,0.0,0.0
75,notUsed,tree,Use trees - notUsed,Use trees,0,8,carrySuit,0.0,0.0
76,notUsed,tree,Use trees - notUsed,Use trees,0,9,total,130416.84463968607,130416.84463968607
77,notUsed,tree,Use trees - notUsed,Use trees,0,9,dead,5589.759087472904,5589.759087472904
78,notUsed,tree,Use trees - notUsed,Use trees,0,9,high,0.0,0.0
79,notUsed,tree,Use trees - notUsed,Use trees,0,9,carrySuit,0.0,0.0
80,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,total,137139.15035404504,137139.15035404504
81,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,dead,969.1434841955986,969.1434841955986
82,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,high,0.0,0.0
83,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,0,carrySuit,0.0,0.0
84,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,total,136789.72111586848,136789.72111586848
85,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,dead,2635.155249703427,2635.155249703427
86,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,high,0.0,0.0
87,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,1,carrySuit,0.0,0.0
88,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,total,135762.38644447215,135762.38644447215
89,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,dead,2598.029736919955,2598.029736919955
90,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,high,0.0,0.0
91,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,2,carrySuit,0.0,0.0
92,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,3,total,136742.54527009357,136742.54527009357
93,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,3,dead,3770.670520051411,3770.670520051411
94,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,3,high,0.0,0.0
95,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,3,carrySuit,0.0,0.0
96,notUsed,tree,"Use trees, maintain trees, and renew trees in cycles - notUsed","Use trees, maintain trees, and renew trees in cycles",0,4,total,135813.3834026527,135813.3834026527
